list_name,choice_count,sample_values,sample_labels_en,filter_columns_present
Adopted_Energy,12,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Solar energy systems, including solar PV, | 2)Solar-powered irrigation pumps, | 3)Solar cold rooms, refrigeration and cooling systems, | 4)Solar-powered agro-processing and productive-use equipment, | 5)Solar dryers for crops, fish and spices, | 6)Solar mini-grids, off-grid and hybrid systems, | 7)Battery energy storage systems, | 8)Biogas systems from manure and organic waste, | 9)Biomass energy from rice husks, bagasse and agro-waste, | 10)Efficient grid-connected electric systems, motors, pumps and compressors,",
Climate_hazards,19,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Drought / prolonged dry spells, | 2)Flooding / waterlogging, | 3)Erratic rainfall, | 4)Heat stress / extreme temperatures, | 5)Strong winds / storms, | 6)Soil erosion / land degradation, | 7)Pest infestation, | 8)Crop diseases, | 9)Livestock diseases, | 10)Unseasonal rains at harvest,",
Education_Level,5,1 | 2 | 3 | 4 | 5,None | Primary | Secondary | College | University,
Energy_Source,10,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 96,"1)National grid electricity, | 2)Diesel and petrol-powered systems, including generators and machinery, | 3)Solar energy and solar hybrid systems, | 4)Battery and energy storage systems, | 5)Firewood and charcoal, | 6)Biomass residues, including rice husks, bagasse and agro-waste, | 7)Biogas, | 8)LPG and natural gas, | 9)Manual labour and animal power, | 10)Other Eligible; Specify.",
Gender,2,1 | 2,Male | Female,
Irrigation_Type,15,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Drip Irrigation, | 2)Sprinkler Irrigation, | 3)Flood Irrigation, | 4)Furrow Irrigation, | 5)Basin Irrigation, | 6)Paddy Irrigation / Canal Irrigation, | 7)Solar-Powered Pump Irrigation, | 8)Diesel-Powered Pump Irrigation, | 9)Electric Pump Irrigation, | 10)Rain-Fed Farming,",
SDGs,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)SDG 1 – No Poverty; SDG 2 – Zero Hunger; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action | 2)SDG 2 – Zero Hunger; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action; SDG 15 – Life on Land | 3)SDG 2 – Zero Hunger; SDG 8 – Decent Work and Economic Growth; SDG 9 – Industry, Innovation and Infrastructure; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action | 4)SDG 2 – Zero Hunger; SDG 6 – Clean Water and Sanitation; SDG 7 – Affordable and Clean Energy; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action | 5)SDG 2 – Zero Hunger; SDG 6 – Clean Water and Sanitation; SDG 9 – Industry, Innovation and Infrastructure; SDG 13 – Climate Action | 6)SDG 2 – Zero Hunger; SDG 6 – Clean Water and Sanitation; SDG 9 – Industry, Innovation and Infrastructure; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action | 7)SDG 2 – Zero Hunger; SDG 6 – Clean Water and Sanitation; SDG 9 – Industry, Innovation and Infrastructure; SDG 11 – Sustainable Cities and Communities; SDG 13 – Climate Action | 8)SDG 2 – Zero Hunger; SDG 8 – Decent Work and Economic Growth; SDG 9 – Industry, Innovation and Infrastructure; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action | 9)SDG 1 – No Poverty; SDG 2 – Zero Hunger; SDG 13 – Climate Action; SDG 15 – Life on Land | 10)SDG 2 – Zero Hunger; SDG 6 – Clean Water and Sanitation; SDG 12 – Responsible Consumption and Production; SDG 13 – Climate Action; SDG 15 – Life on Land",technology
Water_Source,18,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Borehole water, | 2)Shallow and deep well water, | 3)River and stream water, | 4)Lake water, | 5)Pond and farm pond water, | 6)Charco dam water, | 7)Reservoir and dam water, | 8)Rainwater harvesting, | 9)Roof catchment rainwater, | 10)Surface runoff harvesting,",
Yes_No,2,1 | 2,Yes | No,
Zone,8,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8,"1. Central Zone | 2. Coastal Zone | 3. Dar Zone | 4. Highland Zone | 5. Lake Zone | 6. Northern Zone | 7. Southern Zone | 8. Western Zone""",
adaptation,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Improves crop survival, yield stability and production reliability under changing rainfall and temperature conditions, | 2)Restores soil health, improves nutrient efficiency and increases soil moisture retention for resilient crop production, | 3)Enables timely planting, improves field preparation and enhances water distribution, especially in paddy and irrigated schemes, | 4)Reduces dependence on rainfall and improves water-use efficiency for stable production during dry periods, | 5)Captures and stores water for use during dry periods, improving farm water security and climate resilience, | 6)Reduces water losses, improves flow efficiency and ensures reliable irrigation supply in paddy and crop schemes, | 7)Protects crops, farms and irrigation infrastructure from excess water and extreme rainfall events, | 8)Creates controlled production conditions, reducing exposure to climate shocks and improving productivity, | 9)Provides shade, improves soil structure, reduces erosion, diversifies income and enhances long-term ecosystem resilience, | 10)Conserves soil moisture, reduces erosion and improves soil productivity under climate stress,",technology
adaptation_result,28,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Increased crop yield | Stable crop production | Reduced production costs | Increased farm income | Increased profitability | Improved product quality | Reduced post-harvest losses | Improved storage capacity | Improved processing capacity | Improved market access,
additional,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Reduced crop failure and land expansion pressure; improved resource-use efficiency, | 2)Soil carbon improvement; reduced synthetic fertilizer emissions, | 3)Reduced fuel use per output; improved water and input efficiency, | 4)Solar irrigation reduces diesel emissions; efficient water pumping saves energy, | 5)Reduced reliance on diesel-powered emergency water pumping, | 6)Lower pumping demand; improved water productivity per crop output, | 7)Reduced crop loss and replanting emissions; protection of soil carbon, | 8)Efficient water and input use; reduced land pressure through higher yields, | 9)Carbon sequestration through trees; improved biomass and soil carbon, | 10)Increased soil organic carbon; reduced tillage-related emissions,",technology
baseline_tech_list,13,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Diesel or petrol pumps, generators and farm machinery, | 2)Firewood, charcoal or coal-based cooking and processing systems, | 3)Traditional biomass stoves using firewood, charcoal or crop residues, | 4)Manual crop drying under open sun, | 5)Traditional fish drying under open sun, | 6)Firewood, charcoal or coal-based crop drying, | 7)Firewood, charcoal or coal-based fish drying or smoking, | 8)Grid electricity with inefficient appliances or equipment, | 9)Traditional flood irrigation, | 10)Manual irrigation using buckets, watering cans or manual pumps,",
branch,239,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,1.1 Dodoma | 1.2 UDOM | 1.3 Chamwino Dodoma | 1.4 LAPF Dodoma | 1.5 Chamwino IKULU | 1.6 Kambarage Premier Center | 1.7 Morogoro | 1.8 Mandela | 1.9 Kilombero | 1.10 Ifakara,zone
climate_risk,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Drought, erratic rainfall, shortened rainy seasons, heat stress, pest and disease outbreaks, crop failure, | 2)Soil fertility decline, land degradation, drought stress, low soil moisture, poor crop performance under climate stress, | 3)Delayed planting due to unpredictable rains, waterlogging, poor water distribution, soil compaction, labour shortage during short planting windows, | 4)Drought, rainfall variability, dry spells, water scarcity, heat stress, crop water stress, | 5)Drought, seasonal water shortages, erratic rainfall, prolonged dry spells, unreliable surface water availability, | 6)Water loss, inefficient irrigation, drought stress, uneven water distribution, siltation, reduced water availability in paddy schemes, | 7)Flooding, waterlogging, soil erosion, crop submergence, extreme rainfall, infrastructure damage, | 8)Heat stress, heavy rainfall, wind damage, pest outbreaks, water stress, crop damage from climate variability, | 9)Soil erosion, heat stress, drought, wind damage, land degradation, biodiversity loss, carbon loss, | 10)Soil erosion, drought, low soil moisture, land degradation, runoff, reduced soil fertility,",technology
collateral,20,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"Agricultural Land (titled/untitled) | Standing crops & tree crops / plantations | Livestock | Farm equipment & irrigation systems | Greenhouse | Input inventory (seeds, fertilizer, agro‑chemicals) | Agro‑dealer shop / market stall / shop | Stored produce & finished goods | Warehouse receipt | Storage facility & cold storage",
cost_item,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Land clearing | Ploughing | Tractor hire | Seeds | Fertilizer | Herbicides | Manure | Irrigation water | Irrigation fuel | Scouting,
crop_adaptation,110,1.1 | 1.2 | 1.3 | 1.4 | 1.5 | 1.6 | 1.7 | 1.8 | 1.9 | 1.10,"1.1. Widely used Primary Staple Food cereal,  critical for food systems and adaptable to many climate zones. | 1.2. Staple food crop with adaptation needs in irrigation and flood zones. | 1.3.widely used(Primary Staple Food, fFlood-resilient crop with importance in water management. | 1.4. It is Primary,  Staple Food and Strategic, cool-season cereal with value for bread and rotation cropping. | 1.5. Hardy cereal for dry zones and intercropping with legumes or pulses. | 1.6. Primary Staple food in rural , nutritious traditional cereal for dryland agriculture and food diversification. | 1.7.  Primary Staple Food and drought-tolerant cereal for food security in arid regions. | 1.8. Among Staple Food and cold-tolerant cereal used in highland climates with potential for rotational systems. | 1.9.  Primary Staple Food and dry land cereal critical for nutrition and drought adaptation. | 1.10. Emerging cereal for highland climates with food and fodder co-benefits.",crop_name
crop_category,34,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,1. Cereal Grain (Primary Staple Food) | 2. Fruit Crop (Staple Food) | 3. Grain Legumes | 4. Fruit Crop (strategic) | 5. Tuber- Energy Crops (Staple food) | 6. Tuber-Energy Crops (Staple food)/Strategic | 7. Edible oil crop (Strategic) | 8. Edible oil crop (legume) | 9. Edible oil crop | 10. Fruit Vegetables (horticulture),
crop_name,110,1.1 | 1.2 | 1.3 | 1.4 | 1.5 | 1.6 | 1.7 | 1.8 | 1.9 | 1.10,1.1. Maize (Mahindi) | 1.2. Paddy (Mpunga) | 1.3. Rice (Mchele) | 1.4. Wheat (Ngano) | 1.5. Millet (Uwele) | 1.6. Finger Millet (Mwere/ ulezi) | 1.7. Pearl Millet (Uwele wa lulu) | 1.8. Barley (Shairi) | 1.9. Sorghum (Mtama) | 1.10. Oats (Shayiri pori),
district,184,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Jiji la Arusha | Arusha | Karatu | Longido | Meru | Monduli | Ngorongoro | Manispaa ya Ilala | Manispaa ya Kigamboni | Manispaa ya Kinondoni,region
energy_after_list,17,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Solar-powered irrigation, | 2)Solar water pumping, | 3)Solar cold storage and refrigeration, | 4)Solar dryers for crops, spices and fish, | 5)Solar agro-processing equipment, | 6)Solar aquaculture aeration systems, | 7)Solar-powered hatchery systems, | 8)Solar-powered fish landing facilities, | 9)Biogas from manure and organic waste, | 10)Biomass energy from crop residues,",
energy_base_list,10,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 96,"1)Diesel, | 2)Petrol, | 3)Kerosene, | 4)Firewood, | 5)Charcoal, | 6)Coal, | 7)Heavy fuel oil, | 8)Furnace oil, | 9)Non-renewable grid electricity, | 10)Other conventional / non-clean energy source; Specify",
exposure_level,4,1 | 2 | 3 | 4,"Highly exposed, | Moderately exposed, | Low exposure, | Not exposed.",
frequently,5,1 | 2 | 3 | 4 | 5,"1)Every season, | 2)Once a year, | 3)Every 2–3 years, | 4)Rare | 5)Not experienced",
gender_focus,5,1 | 2 | 3 | 4 | 5,Joint decision-making | Women leadership | Access to finance | Labor burden reduction | Equal benefit sharing,
grievance_stage,19,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Drought / prolonged dry spells, | 2)Flooding / waterlogging, | 3)Erratic rainfall, | 4)Heat stress / extreme temperatures, | 5)Strong winds / storms, | 6)Soil erosion / land degradation, | 7)Pest infestation, | 8)Crop diseases, | 9)Livestock diseases, | 10)Unseasonal rains at harvest,",
group_type,3,producer_group | cooperative | sacco,Producer Group | Cooperative | SACCO,
guarantee_coverage,2,50 | 52_5,0.5 | 0.525,
insurance_type,3,wii | ayii | hybrid,WII | AYII | Hybrid,
insurance_year,5,year1 | year2 | year3 | year4 | year5,Year 1 | Year 2 | Year 3 | Year 4 | Year 5,
intervention,36,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Improved seeds | Improved seedlings | Fertilizer support | Organic manure | Agricultural lime | Irrigation system | Solar irrigation pump | Rainwater harvesting | Farm mechanisation | Tractor services,
irr_base_list,15,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Rainfed farming with no water management system, | 2)Traditional flood irrigation, | 3)Uncontrolled paddy flooding, | 4)Diesel-powered pump irrigation, | 5)Petrol-powered pump irrigation, | 6)Manual irrigation using buckets or watering cans, | 7)Open canal irrigation with high seepage losses, | 8)Unlined canal irrigation, | 9)Poorly maintained irrigation canals with siltation, | 10)Over-irrigation without scheduling or water measurement,",
new_tech_list,14,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Solar water pumping systems for irrigation and aquaculture, | 2)Solar-powered irrigation systems, including drip and sprinkler, | 3)Solar-powered agro-processing machines, including milling and oil extraction, | 4)Solar dryers for crops, fruits, spices and fish, | 5)Solar cold rooms, refrigeration and ice-making systems, | 6)Solar-powered aquaculture systems, including aeration, pumping and hatchery support, | 7)Solar-powered fish landing and productive-use facilities, | 8)Biogas digesters and biogas-powered cooking or processing systems, | 9)Biomass energy systems using rice husks, bagasse and agro-waste, | 10)Energy-efficient electric motors, pumps and compressors,",
region,26,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Arusha | Dar es Salaam | Dodoma | Geita | Iringa | Kagera | Katavi | Kigoma | Kilimanjaro | Lindi,
reporting_period,4,year1 | year2 | year3 | endline,Year 1 | Year 2 | Year 3 | Endline,
risk_category,3,A | B | C,Category A | Category B | Category C,
target_group,5,1 | 2 | 3 | 4 | 5,Women | Youth (18–35) | Vulnerable Groups | Persons with Disabilities | Mixed Group,
technology,21,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Climate-smart seeds, including drought-tolerant, early-maturing, pest-resistant and locally adaptive varieties, | 2)Organic inputs, compost, bio-fertilizers and soil testing kits, | 3)Land preparation and mechanization, including tractors, rippers, planters and laser land levelling, | 4)Efficient irrigation, including solar pumps, drip, sprinkler and water-saving systems, | 5)Rainwater harvesting and water storage, including tanks, ponds, reservoirs and charco dams, | 6)Irrigation infrastructure improvement, including canal lining, desilting, flow regulation and paddy water management, | 7)Flood control and drainage systems for farms and irrigation schemes, | 8)Greenhouses, net shading and protected farming systems, | 9)Agroforestry, including fruit trees, banana, coffee, legumes, cereals and avocado, | 10)Soil and water conservation, including mulching, minimum tillage, cover cropping and erosion control,",
training_type,5,1 | 2 | 3 | 4 | 5,ARA Practices | Financial Inclusion | Gender & Social Inclusion | Climate-Smart Agriculture | Post-Harvest Management,
unit_measure,31,man_day | person | hour | day | acre | hectare | plot | kg | gram | tonne,Man-day | Person | Hour | Day | Acre | Hectare | Plot | Kilogram (kg) | Gram (g) | Tonne,
vc_stages,18,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,FARM PREPARATION STAGE BENEFICIARIES | FARM OPERATIONS STAGE BENEFICIARIES | INPUT SUPPLY STAGE BENEFICIARIES | WEEDING / FIELD MANAGEMENT STAGE BENEFICIARIES | PRE-HARVEST / PEST CONTROL STAGE BENEFICIARIES | HARVESTING STAGE BENEFICIARIES | POST-HARVEST HANDLING STAGE BENEFICIARIES | STORAGE / WAREHOUSING STAGE BENEFICIARIES | CCROP TRANSPORT STAGE BENEFICIARIES | VALUE ADDITION/PROCESSING  STAGE BENEFICIARIES,
verification,17,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Farmer interview | Field observation | Field measurement | Farm production records | Sales records | Purchase receipts | Input purchase receipts | Loan records | Farmer group or cooperative records | Warehouse or storage records,
village,66297,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Kitiangare | Tindigani | Kijenge Kaskazini | Kijenge Kusini | Sorenyi | Kambi ya Chupa | Kwa Mrefu | Mferejini | Kiroshi | Siara,"region, district, ward"
ward,3966,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,Kimandolu | Baraa | Oloirien | Moshono | Moivaro | Lemara | Engutoto | Sokon I | Sinoni | Terrat,"region, district"
water_tech_list,19,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10,"1)Drip irrigation systems, | 2)Solar-powered drip irrigation systems, | 3)Sprinkler irrigation systems, | 4)Solar-powered sprinkler irrigation systems, | 5)Borehole irrigation with solar pumping, | 6)River/lake abstraction with solar pumping, where legally permitted, | 7)Rainwater harvesting irrigation systems, | 8)Farm pond and charco dam irrigation systems, | 9)Water storage tanks and reservoir-based irrigation, | 10)Gravity-fed irrigation systems,",
